[dotenv@17.2.3] injecting env (1) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
--- ALL CUSTOMERS ---
ID: 695e5b929d271ce2364faf46, Name: "Bag Industries "
ID: 695f76885f8ffc24e1ec164f, Name: "Roshan Foam "
ID: 695f84305f8ffc24e1ec5847, Name: "Phima Delphi India pvt ltd "
ID: 695fd5c8b3ea21dbaa9aa1b1, Name: "Prestige Office Venturs"
ID: 6960bb7f7aa11f1c621dee91, Name: "Jubilant Foodworks "
ID: 69612fadae8c67bed3d62f5d, Name: "Daanvi Gruh Udyog "
ID: 6962827efcf0bfa7252aee0d, Name: "Mahle Anand Filter Systems Pvt Ltd"
ID: 6914b4e2783628cebd34735c, Name: "Airmech Engineers Pvt Ltd "
ID: 6917581260713965df9ca290, Name: "Shubhkarat India Pvt Ltd"
ID: 6920606d1ae12e633f67c507, Name: "ADP Manufacturing Pvt Ltd"
ID: 6930273acec88421b7e515a3, Name: "Elevate HVAC Engineers"
ID: 693027b8cec88421b7e515c5, Name: "Pentagon Elmech Solution"
ID: 6932ec685526fc089188fd11, Name: "G T Jayanti Agrochem India Pvt Ltd "
ID: 694a9d041ebc0261c00e1857, Name: "Speciality Organics Pvt Ltd "
ID: 694bec6344c1e07d6836e1a5, Name: "General Trade Point "
ID: 694bf6418bcd508ef05175ac, Name: "Intellimech Systems "
ID: 694bf7908bcd508ef0517792, Name: "Techtonic air Conditioning "
ID: 694cefbe5ea8500690847dbc, Name: "Godrej & Boyce Manufacture Co Ltd"
ID: 694cffef5ea850069084894a, Name: "Fairedeal Enterprises"
ID: 694d05975ea8500690848d1f, Name: "Weather Dynamics"
ID: 694e938fd39b9f3d529696c5, Name: "Ami Polymer Pvt Ltd"
ID: 694fb2917fc6643e70fe6944, Name: "ARS Engineering Solution "
ID: 694fbce37fc6643e70fe73db, Name: "B V Enterprises"
ID: 6950ea554f83ed097ac153a3, Name: "Teamgloble Aircon Pvt Ltd"
ID: 69513f5c81921ea188d90524, Name: "R N Global Trexim Pvt Ltd "
ID: 69523b011093246d382ec739, Name: "Fabair Cooling Solution Pvt Ltd "
ID: 695242a61093246d382ed084, Name: "Happy Nuts Industries"
ID: 6952631ca28275d7dc1999e5, Name: "Realtime Integated Infratech Pvt Ltd"
ID: 695278e089793d6aed3e497a, Name: "Micron Electricals "
ID: 695ce22188afc6ec6caea434, Name: "Kavita Agro Marketing "
ID: 695d19b0af9ef129550b453e, Name: "Kube Konnet "
ID: 695e31793f7ec8a7617a6491, Name: "M Moser Desging Associates"
ID: 695f4985c2761abb2b2241b1, Name: "National Trading Company "
ID: 695f4d45c2761abb2b225f28, Name: "Sattva Group"
ID: 695f8c7b5f8ffc24e1ecb9d3, Name: "Shree DMA Foods Pvt Ltd "
ID: 695f92435f8ffc24e1ecde22, Name: "Mauranipur Union Tpt"
ID: 695fd16db3ea21dbaa9a91a4, Name: "Chhotalal Madhavji "
ID: 6961350eae8c67bed3d67948, Name: "Dolar Engg Industries Pvt Ltd "
ID: 69637c36b4d94f1e72d2f818, Name: "ARCITC Traders "
ID: 69638183b4d94f1e72d341fd, Name: "Space Matrix Design "
ID: 696382d4b4d94f1e72d3530c, Name: "Datar Exim "
ID: 696384c9b4d94f1e72d35e6c, Name: "Amex bagamane Construction Pvt Ltd "
ID: 6963d5b2b38a95c9d3178b2b, Name: "Target Corporation India Pvt Ltd "
ID: 69651ab50b1725de5dbb5bf5, Name: "Aagham Control Systems "
ID: 69651b460b1725de5dbb61a6, Name: "Z Works Solutions Pvt Ltd"
ID: 69651d6a0b1725de5dbb6757, Name: "Integrated Cooltech Pvt Ltd"
ID: 69651f590b1725de5dbb7e15, Name: "Marvell India Pvt Ltd"
ID: 69651ffe0b1725de5dbb83c6, Name: "Kalyani Tech Park "
ID: 696529600b1725de5dbbcdaa, Name: "Siddhi Enterprises"
ID: 69652aab0b1725de5dbbe468, Name: "Manipal Hospital "
ID: 6965c28bc62680f1ab2fc014, Name: "Isha Exim"
ID: 6965d22eb4b6fea566abe10c, Name: "Kandahar Soghat Ltd"
ID: 6965e43cdb862d3c4cdcf105, Name: "C V Siddiq Sarana Mulya "
ID: 6965e519db862d3c4cdcf107, Name: "C D Spices"
ID: 6965f233e9072cbf61597efb, Name: "Sena Mills Refineries "
ID: 6965f7149ba3837e6f065c79, Name: "New Karnataka Enterprises "
ID: 696602e9f1ed359848a844d1, Name: "P T Gorom Kencana "
ID: 6966072644074c6d2f4b7b91, Name: "P T Cahyo Mace "
ID: 69660c54554e04aaa16a3457, Name: "Balaji Trading Company "
ID: 696610a4554e04aaa16a50c4, Name: "Sas Hotels & Enterprises Ltd "
ID: 69661a71a4a009d74927170a, Name: "Mahadev Chemicals"
ID: 69661ad2a4a009d74927170c, Name: "Jaidip Agencies"
ID: 696631fcd4998181f0fcf599, Name: "Juniper Hotels Ltd"
ID: 696638a815a4f6b12cab7cb7, Name: "NBG International Pvt Ltd "
ID: 696647bb0cd3597fbdf0a117, Name: "Sai Traders "
ID: 6967af1bad8471b768fa4c30, Name: "T.M.Traders"
ID: 696ba259e3a2e72b1cc0999d, Name: "Syrma SGS Technology Ltd"
ID: 697240a49b2965d29c764059, Name: "Walmart "
ID: 697241769b2965d29c764907, Name: "Vismaya Infrastructure Pvt Ltd"
ID: 697242769b2965d29c7651b5, Name: "Cherry Hill Interior Pvt Ltd "
ID: 697243399b2965d29c765a63, Name: "Alluarju Residency "
ID: 6972440a9b2965d29c766311, Name: "Warner Bros Discover India Pvt Ltd"
ID: 697246419b2965d29c76746b, Name: "Vipul Agencies "
ID: 697249039b2965d29c768e71, Name: "RMZ Infinity Tower"
ID: 697249b49b2965d29c76971f, Name: "Zeta Tech City "
ID: 69724b589b2965d29c769fcd, Name: "Prateek International "
ID: 69789979ea43bdce919c0484, Name: "R K Interior Cfs India Pvt Ltd "
ID: 69789d9bea43bdce919c0d3b, Name: "Prahitha Construction Pvt Ltd "
ID: 69789eb8ea43bdce919c15f2, Name: "Vayhan Air Controls Pvt Ltd "
ID: 6978a281ea43bdce919c1ec3, Name: "PT Indo Golden Empire "
ID: 6978a322ea43bdce919c1ec5, Name: "Safwan Sugandh Bhandar "
ID: 6978a827ea43bdce919c38f5, Name: "INZI Auto Components AN Pvt Ltd"
ID: 6980b8de717a6f8965294b67, Name: "Amgen Technology "
ID: 6980c50b1a3aa1943865b135, Name: "P G Impex "
ID: 6980c5941a3aa1943865b137, Name: "P G Impex (Mumbai)"
ID: 6981872a44f2338e6fc159b3, Name: "Hilton Hotel "
--- LARGE INVOICES ---
